  920.0000000      0.9167800500    
  920.0920800      0.9093164800    
  920.1841800      0.8915007900    
  920.2762800      0.8426444100    
  920.3683900      0.7396713900    
  920.4605100      0.6052042300    
  920.5526400      0.5010625700    
  920.6447800      0.4373587700    
  920.7369300      0.3987508000    
  920.8290800      0.3778934300    
  920.9212500      0.3670887900    
  921.0134300      0.3658454600    
  921.1056100      0.3729680900    
  921.1978100      0.3888851500    
  921.2900100      0.4148231600    
  921.3822200      0.4634452300    
  921.4744500      0.5488438300    
  921.5666800      0.6666792200    
  921.6589200      0.7638595000    
  921.7511700      0.8153067600    
  921.8434300      0.8388912700    
  921.9356900      0.8523332600    
  922.0279700      0.8617679600    
  922.1202600      0.8685374600    
  922.2125500      0.8724068000    
  922.3048600      0.8701214900    
  922.3971700      0.8486006000    
  922.4895000      0.7787996800    
  922.5818300      0.6521039500    
  922.6741700      0.5314263200    
  922.7665200      0.4553962700    
  922.8588800      0.4092770700    
  922.9512500      0.3855555000    
  923.0436300      0.3745845900    
  923.1360200      0.3726875600    
  923.2284200      0.3805751400    
  923.3208200      0.3953444600    
  923.4132400      0.4195256700    
  923.5056700      0.4549598900    
  923.5981000      0.5130168700    
  923.6905400      0.6105899900    
  923.7830000      0.7439155400    
  923.8754600      0.8445856200    
  923.9679300      0.8862495100    
  924.0604100      0.8960550300    
  924.1529000      0.8962662500    
  924.2454000      0.8941082500    
  924.3379100      0.8909565200    
  924.4304300      0.8871637200    
  924.5229600      0.8826241800    
  924.6154900      0.8772194900    
  924.7080400      0.8708347900    
  924.8005900      0.8633216400    
  924.8931600      0.8544074400    
  924.9857300      0.8431371100    
  925.0783100      0.8263546200    
  925.1709000      0.7955430100    
  925.2635100      0.7374027400    
  925.3561200      0.6490516700    
  925.4487400      0.5531280000    
  925.5413600      0.4733987700    
  925.6340000      0.4139411200    
  925.7266500      0.3685266500    
  925.8193100      0.3334322900    
  925.9119700      0.3099396600    
  926.0046500      0.2964454500    
  926.0973300      0.2938754400    
  926.1900300      0.2983332300    
  926.2827300      0.3115887200    
  926.3754400      0.3320555200    
  926.4681600      0.3555602500    
  926.5609000      0.3888817300    
  926.6536400      0.4337310900    
  926.7463900      0.5079014200    
  926.8391400      0.6270125900    
  926.9319100      0.7599258300    
  927.0246900      0.8355899700    
  927.1174800      0.8549154600    
  927.2102700      0.8375635700    
  927.3030800      0.7813309900    
  927.3958900      0.6930411800    
  927.4887200      0.6057389400    
  927.5815500      0.5438611300    
  927.6743900      0.5050139500    
  927.7672400      0.4850453500    
  927.8601100      0.4811216100    
  927.9529800      0.4915911200    
  928.0458600      0.5180855300    
  928.1387400      0.5638482100    
  928.2316400      0.6352373000    
  928.3245500      0.7282251900    
  928.4174700      0.8145275400    
  928.5103900      0.8661634000    
  928.6033300      0.8868494300    
  928.6962700      0.8930643000    
  928.7892300      0.8947234900    
  928.8821900      0.8952113000    
  928.9751600      0.8953763000    
  929.0681500      0.8953607300    
  929.1611400      0.8951879600    
  929.2541400      0.8948285400    
  929.3471500      0.8941294500    
  929.4401700      0.8926231600    
  929.5332000      0.8881949600    
  929.6262300      0.8737482400    
  929.7192800      0.8328854600    
  929.8123400      0.7534997700    
  929.9054000      0.6480478800    
  929.9984800      0.5584203900    
  930.0915600      0.4923867600    
  930.1846600      0.4437185900    
  930.2777600      0.4052901100    
  930.3708700      0.3759610200    
  930.4639900      0.3532557200    
  930.5571200      0.3401721100    
  930.6502600      0.3361777200    
  930.7434100      0.3396245800    
  930.8365700      0.3506444800    
  930.9297400      0.3671272900    
  931.0229200      0.3894537000    
  931.1161100      0.4197375400    
  931.2093000      0.4625993800    
  931.3025100      0.5354651300    
  931.3957200      0.6576904800    
  931.4889500      0.7881540800    
  931.5821800      0.8520490900    
  931.6754200      0.8642283200    
  931.7686800      0.8585573800    
  931.8619400      0.8479153600    
  931.9552100      0.8347495500    
  932.0484900      0.8196124500    
  932.1417800      0.8023597900    
  932.2350800      0.7830167600    
  932.3283900      0.7617687900    
  932.4217000      0.7388350200    
  932.5150300      0.7144835500    
  932.6083700      0.6884841800    
  932.7017100      0.6581575600    
  932.7950700      0.6150236200    
  932.8884300      0.5522363400    
  932.9818100      0.4784988400    
  933.0751900      0.4238979000    
  933.1685800      0.3931927700    
  933.2619800      0.3817627600    
  933.3553900      0.3824047400    
  933.4488100      0.3929205800    
  933.5422400      0.4138397000    
  933.6356800      0.4456875700    
  933.7291300      0.4901246000    
  933.8225900      0.5588564200    
  933.9160600      0.6530948500    
  934.0095300      0.7568941500    
  934.1030200      0.8310866500    
  934.1965100      0.8665391400    
  934.2900200      0.8807354400    
  934.3835300      0.8874807600    
  934.4770600      0.8919413300    
  934.5705900      0.8955316300    
  934.6641300      0.8985782800    
  934.7576800      0.9012182400    
  934.8512400      0.9035119800    
  934.9448100      0.9055079900    
  935.0383900      0.9072405200    
  935.1319800      0.9087286700    
  935.2255800      0.9099829400    
  935.3191900      0.9110179500    
  935.4128000      0.9118574700    
  935.5064300      0.9125265000    
  935.6000700      0.9130403900    
  935.6937100      0.9134021500    
  935.7873700      0.9136073800    
  935.8810300      0.9136484200    
  935.9747000      0.9135144400    
  936.0683800      0.9131892300    
  936.1620800      0.9126489500    
  936.2557800      0.9118583400    
  936.3494900      0.9106786700    
  936.4432100      0.9087111300    
  936.5369400      0.9041052000    
  936.6306800      0.8900959800    
  936.7244300      0.8491774400    
  936.8181800      0.7647267600    
  936.9119500      0.6513414100    
  937.0057300      0.5544101400    
  937.0995100      0.4838449800    
  937.1933100      0.4341863700    
  937.2871100      0.3952813200    
  937.3809300      0.3646134400    
  937.4747500      0.3403880200    
  937.5685800      0.3256979900    
  937.6624200      0.3214219600    
  937.7562800      0.3256899000    
  937.8501400      0.3369174800    
  937.9440100      0.3540252400    
  938.0378900      0.3765572000    
  938.1317800      0.4066027300    
  938.2256700      0.4427903100    
  938.3195800      0.4961121500    
  938.4135000      0.5888800600    
  938.5074300      0.7362317700    
  938.6013600      0.8683422400    
  938.6953100      0.9237771400    
  938.7892600      0.9374632600    
  938.8832300      0.9402208700    
  938.9772000      0.9410376100    
  939.0711800      0.9415030800    
  939.1651800      0.9419893500    
  939.2591800      0.9424835000    
  939.3531900      0.9429769100    
  939.4472100      0.9434635400    
  939.5412400      0.9439388200    
  939.6352800      0.9443993300    
  939.7293300      0.9448424100    
  939.8233900      0.9452657000    
  939.9174500      0.9456674900    
  940.0115300      0.9460468800    
  940.1056200      0.9464030600    
  940.1997100      0.9467351800    
  940.2938200      0.9470428500    
  940.3879400      0.9473258600    
  940.4820600      0.9475837300    
  940.5761900      0.9478157800    
  940.6703400      0.9480211100    
  940.7644900      0.9481983700    
  940.8586500      0.9483466700    
  940.9528200      0.9484655100    
  941.0470000      0.9485533600    
  941.1411900      0.9486074200    
  941.2353900      0.9486234200    
  941.3296000      0.9485942800    
  941.4238200      0.9484587100    
  941.5180500      0.9479856200    
  941.6122900      0.9459183200    
  941.7065300      0.9370127300    
