  691   459353400000.00000        459353400000.00000       -459353400000.00000        459353400000.00000        459353400000.00000        459353400000.00000     
  657   918706800000.00000        0.0000000000000000       -918706800000.00000        918706800000.00000        918706800000.00000        918706800000.00000     
  997   918706800000.00000        0.0000000000000000        0.0000000000000000        918706800000.00000        918706800000.00000        918706800000.00000     
 1020   1837413600000.0000        0.0000000000000000        0.0000000000000000        918706800000.00000        918706800000.00000        918706800000.00000     
 1022   1837413600000.0000        918706800000.00000        0.0000000000000000        918706800000.00000        918706800000.00000        918706800000.00000     
 1026   1837413600000.0000        918706800000.00000        918706800000.00000        918706800000.00000        918706800000.00000        918706800000.00000     
 1027   2756120400000.0000        918706800000.00000        918706800000.00000        918706800000.00000        918706800000.00000        918706800000.00000     
 1348   3674827200000.0000        0.0000000000000000        0.0000000000000000        1837413600000.0000        1837413600000.0000        1837413600000.0000     
 1352   3674827200000.0000        0.0000000000000000        1837413600000.0000        1837413600000.0000        1837413600000.0000        1837413600000.0000     
 1356   3674827200000.0000        1837413600000.0000        1837413600000.0000        918706800000.00000        918706800000.00000        918706800000.00000     
 1357   4593534000000.0000        1837413600000.0000        1837413600000.0000        918706800000.00000        918706800000.00000        918706800000.00000     
 1355   5512240800000.0000        1837413600000.0000        1837413600000.0000        1837413600000.0000        1837413600000.0000        1837413600000.0000     
   24   3674827200000.0000       -3674827200000.0000        3674827200000.0000        7349654400000.0000        7349654400000.0000        7349654400000.0000     
   27   3674827200000.0000        3674827200000.0000        3674827200000.0000        7349654400000.0000        7349654400000.0000        7349654400000.0000     
   36  -7349654400000.0000       -3674827200000.0000       -7349654400000.0000        1837413600000.0000        1837413600000.0000        1837413600000.0000     
