     60  2  1  211  200   6  10 () 7p           ()10s           -7.06E-02 -9.83E+05 2.189E+04
     61  2  1  211  200   7   1 () 8p           () 1s            6.37E-03  7.93E+08 2.315E+02
     62  2  1  211  200   7   2 () 8p           () 2s            1.64E-02  1.16E+08 9.722E+02
     63  2  1  211  200   7   3 () 8p           () 3s            3.31E-02  3.88E+07 2.386E+03
     64  2  1  211  200   7   4 () 8p           () 4s            6.45E-02  1.82E+07 4.861E+03
     65  2  1  211  200   7   5 () 8p           () 5s            1.35E-01  1.03E+07 9.348E+03
     66  2  1  211  200   7   6 () 8p           () 6s            3.43E-01  6.51E+06 1.875E+04
     67  2  1  211  200   7   7 () 8p           () 7s            1.48E+00  4.35E+06 4.764E+04
     68  2  1  211  200   7   8 () 8p           () 8s           -0.00E+00  0.00E+00 1.000E+30
     69  2  1  211  200   7   9 () 8p           () 9s           -8.52E-01 -1.18E+06 6.948E+04
     70  2  1  211  200   7  10 () 8p           ()10s           -2.01E-01 -8.17E+05 4.051E+04
     71  2  1  211  200   8   1 () 9p           () 1s            4.43E-03  5.55E+08 2.307E+02
     72  2  1  211  200   8   2 () 9p           () 2s            1.12E-02  8.13E+07 9.587E+02
     73  2  1  211  200   8   3 () 9p           () 3s            2.17E-02  2.72E+07 2.307E+03
     74  2  1  211  200   8   4 () 9p           () 4s            3.96E-02  1.28E+07 4.543E+03
     75  2  1  211  200   8   5 () 9p           () 5s            7.35E-02  7.22E+06 8.239E+03
     76  2  1  211  200   8   6 () 9p           () 6s            1.50E-01  4.59E+06 1.476E+04
     77  2  1  211  200   8   7 () 9p           () 7s            3.76E-01  3.14E+06 2.826E+04
     78  2  1  211  200   8   8 () 9p           () 8s            1.62E+00  2.24E+06 6.948E+04
     79  2  1  211  200   8   9 () 9p           () 9s           -0.00E+00  0.00E+00 1.000E+30
     80  2  1  211  200   8  10 () 9p           ()10s           -9.89E-01 -6.99E+05 9.714E+04
     81  2  1  211  200   9   1 ()10p           () 1s            3.21E-03  4.04E+08 2.301E+02
     82  2  1  211  200   9   2 ()10p           () 2s            7.98E-03  5.91E+07 9.494E+02
     83  2  1  211  200   9   3 ()10p           () 3s            1.51E-02  1.98E+07 2.253E+03
     84  2  1  211  200   9   4 ()10p           () 4s            2.63E-02  9.31E+06 4.340E+03
