  -11024481600000.000       -11024481600000.000       -11024481600000.000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -9554550720000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -8084619840000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -6614688960000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -5144758080000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -3674827200000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -2204896320000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000       -734965440000.00000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        734965440000.00000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        2204896320000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        3674827200000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        5144758080000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        6614688960000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        8084619840000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -11024481600000.000        9554550720000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -11024481600000.000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -9554550720000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -8084619840000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -6614688960000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -5144758080000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -3674827200000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -2204896320000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000       -734965440000.00000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000        734965440000.00000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000        2204896320000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000        3674827200000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
  -11024481600000.000       -9554550720000.0000        5144758080000.0000        1469930880000.0000        1469930880000.0000        1469930880000.0000     
