  73  6.4628870E+12   3014148.  8.724E-17    20892.  0.810 2.189E-07
  74  6.9069385E+12   3021807.  7.619E-17    20639.  0.810 2.189E-07
  75  7.3814998E+12   3028654.  6.656E-17    20380.  0.810 2.189E-07
  76  7.8886673E+12   3034823.  5.816E-17    20115.  0.810 2.189E-07
  77  8.4306812E+12   3040326.  5.083E-17    19843.  0.810 2.189E-07
  78  9.0099357E+12   3045294.  4.443E-17    19561.  0.810 2.189E-07
  79  9.6289896E+12   3049705.  3.884E-17    19269.  0.810 2.189E-07
  80  1.0290577E+13   3053699.  3.397E-17    18968.  0.810 2.189E-07
  81  1.0997621E+13   3057218.  2.970E-17    18656.  0.810 2.189E-07
  82  1.1753245E+13   3060418.  2.598E-17    18333.  0.810 2.189E-07
  83  1.2560786E+13   3063201.  2.273E-17    17999.  0.810 2.189E-07
  84  1.3423811E+13   3065754.  1.988E-17    17655.  0.810 2.189E-07
  85  1.4346134E+13   3067931.  1.740E-17    17298.  0.810 2.189E-07
  86  1.5331826E+13   3069956.  1.522E-17    16933.  0.810 2.189E-07
  87  1.6385244E+13   3071629.  1.332E-17    16552.  0.809 2.189E-07
  88  1.7511040E+13   3073226.  1.166E-17    16166.  0.809 2.189E-07
  89  1.8714187E+13   3074480.  1.020E-17    15761.  0.809 2.189E-07
  90  2.0000000E+13   3075734.  8.928E-18    15356.  0.809 2.189E-07
