    108  6  2  320   8 1s10d           -2.50093E-01 15.0
    109  6  3  200   1 1s2 2s          -4.73567E+00  2.0
    110  6  3  200   2 1s2 3s          -1.97910E+00  2.0
    111  6  3  200   3 1s2 4s          -1.08232E+00  2.0
    112  6  3  200   4 1s2 5s          -6.81451E-01  2.0
    113  6  3  200   5 1s2 6s          -4.68185E-01  2.0
    114  6  3  200   6 1s2 7s          -3.41376E-01  2.0
    115  6  3  200   7 1s2 8s          -2.59894E-01  2.0
    116  6  3  200   8 1s2 9s          -2.04453E-01  2.0
    117  6  3  200   9 1s210s          -1.65031E-01  2.0
    118  6  3  211   1 1s2 2p          -4.14785E+00  6.0
    119  6  3  211   2 1s2 3p          -1.82214E+00  6.0
    120  6  3  211   3 1s2 4p          -1.01876E+00  6.0
    121  6  3  211   4 1s2 5p          -6.49614E-01  6.0
    122  6  3  211   5 1s2 6p          -4.50009E-01  6.0
    123  6  3  211   6 1s2 7p          -3.30034E-01  6.0
    124  6  3  211   7 1s2 8p          -2.52347E-01  6.0
    125  6  3  211   8 1s2 9p          -1.99179E-01  6.0
    126  6  3  211   9 1s210p          -1.61201E-01  6.0
    127  6  3  220   1 1s2 3d          -1.77946E+00 10.0
    128  6  3  220   2 1s2 4d          -1.00086E+00 10.0
    129  6  3  220   3 1s2 5d          -6.40477E-01 10.0
    130  6  3  220   4 1s2 6d          -4.44731E-01 10.0
    131  6  3  220   5 1s2 7d          -3.26715E-01 10.0
    132  6  3  220   6 1s2 8d          -2.50125E-01 10.0
    133  6  3  220   7 1s2 9d          -1.97620E-01 10.0
    134  6  3  220   8 1s210d          -1.60065E-01 10.0
    135  6  4  100   1 2s2             -3.51171E+00  1.0
    136  6  4  100   2 2p2             -1.80550E+00  1.0
    137  6  4  100   3 2s 3s           -1.26280E+00  1.0
    138  6  4  100   4 2s 4s           -6.78189E-01  1.0
    139  6  4  100   5 2s 5s           -4.30367E-01  1.0
    140  6  4  100   6 2p 3p           -3.61383E-01  1.0
    141  6  4  100   7 2s 6s           -2.76984E-01  1.0
    142  6  4  100   8 2s 7s           -2.02130E-01  1.0
    143  6  4  100   9 2s 8s           -1.53289E-01  1.0
    144  6  4  100  10 2s 9s           -1.20118E-01  1.0
    145  6  4  100  11 2s10s           -9.66228E-02  1.0
    146  6  4  110   1 2p 3p           -5.99342E-01  3.0
    147  6  4  110   2 2p 4p           -4.11765E-02  3.0
    148  6  4  110   3 2p 5p            1.98284E-01  3.0
    149  6  4  110   4 2p 6p            3.23314E-01  3.0
    150  6  4  110   5 2p 7p            3.97011E-01  3.0
    151  6  4  110   6 2p 8p            4.44102E-01  3.0
    152  6  4  110   7 2p 9p            4.76020E-01  3.0
    153  6  4  110   8 2p10p            4.98651E-01  3.0
    154  6  4  111   1 2s 2p           -2.56260E+00  3.0
    155  6  4  111   2 2s 3p           -1.15655E+00  3.0
    156  6  4  111   3 2s 4p:          -6.90087E-01  3.0
    157  6  4  111   4 2p 3s:          -5.76174E-01  3.0
    158  6  4  111   5 2s 5p           -3.88700E-01  3.0
    159  6  4  111   6 2p 3d           -3.51325E-01  3.0
    160  6  4  111   7 2s 6p           -2.64911E-01  3.0
    161  6  4  111   8 2s 7p           -1.94177E-01  3.0
    162  6  4  111   9 2s 8p           -1.48372E-01  3.0
    163  6  4  111  10 2s 9p           -1.17248E-01  3.0
    164  6  4  111  11 2s10p           -9.53488E-02  3.0
    165  6  4  120   1 2p2             -2.16932E+00  5.0
    166  6  4  120   2 2s 3d           -9.96289E-01  5.0
    167  6  4  120   3 2s 4d           -5.63728E-01  5.0
    168  6  4  120   4 2p 3p           -4.74790E-01  5.0
    169  6  4  120   5 2s 5d           -3.59462E-01  5.0
    170  6  4  120   6 2s 6d           -2.50037E-01  5.0
    171  6  4  120   7 2s 7d           -1.83800E-01  5.0
    172  6  4  120   8 2s 8d           -1.40757E-01  5.0
    173  6  4  120   9 2s 9d           -1.11229E-01  5.0
    174  6  4  120  10 2s10d           -9.01018E-02  5.0
    175  6  4  121   1 2p 3d           -4.82197E-01  5.0
    176  6  4  121   2 2p 4d            1.17679E-03  5.0
    177  6  4  121   3 2p 5d            2.18622E-01  5.0
    178  6  4  121   4 2p 6d            3.34667E-01  5.0
    179  6  4  121   5 2p 7d            4.04000E-01  5.0
    180  6  4  121   6 2p 8d            4.48714E-01  5.0
    181  6  4  121   7 2p 9d            4.79223E-01  5.0
    182  6  4  121   8 2p10d            5.00966E-01  5.0
    183  6  4  130   1 2p 4f            2.20131E-02  7.0
    184  6  4  130   2 2p 5f            2.28715E-01  7.0
    185  6  4  130   3 2p 6f            3.40332E-01  7.0
    186  6  4  130   4 2p 7f            4.07510E-01  7.0
    187  6  4  130   5 2p 8f            4.51039E-01  7.0
    188  6  4  130   6 2p 9f            4.80843E-01  7.0
    189  6  4  130   7 2p10f            5.02140E-01  7.0
    190  6  4  131   1 2s 4f           -5.78764E-01  7.0
    191  6  4  131   2 2p 3d:          -4.05306E-01  7.0
    192  6  4  131   3 2s 5f:          -3.38045E-01  7.0
    193  6  4  131   4 2s 6f           -2.46668E-01  7.0
    194  6  4  131   5 2s 7f           -1.82856E-01  7.0
    195  6  4  131   6 2s 8f           -1.40497E-01  7.0
    196  6  4  131   7 2s 9f           -1.11220E-01  7.0
    197  6  4  131   8 2s10f           -9.01920E-02  7.0
    198  6  4  140   1 2s 5g           -3.61290E-01  9.0
    199  6  4  140   2 2s 6g           -2.50990E-01  9.0
    200  6  4  140   3 2s 7g           -1.84424E-01  9.0
    201  6  4  140   4 2s 8g           -1.41209E-01  9.0
    202  6  4  140   5 2s 9g           -1.11575E-01  9.0
    203  6  4  140   6 2s10g           -9.03761E-02  9.0
    204  6  4  300   1 2s 3s           -1.34713E+00  3.0
    205  6  4  300   2 2s 4s           -6.98813E-01  3.0
    206  6  4  300   3 2p 3p           -5.29999E-01  3.0
    207  6  4  300   4 2s 5s           -4.21283E-01  3.0
    208  6  4  300   5 2s 6s           -2.85686E-01  3.0
    209  6  4  300   6 2s 7s           -2.05974E-01  3.0
    210  6  4  300   7 2s 8s           -1.55485E-01  3.0
    211  6  4  300   8 2s 9s           -1.21522E-01  3.0
    212  6  4  300   9 2s10s           -9.75890E-02  3.0
    213  6  4  310   1 2p2             -2.24538E+00  9.0
    214  6  4  310   2 2p 3p           -5.04794E-01  9.0
    215  6  4  310   3 2p 4p           -1.01557E-02  9.0
    216  6  4  310   4 2p 5p            2.12426E-01  9.0
    217  6  4  310   5 2p 6p            3.30982E-01  9.0
    218  6  4  310   6 2p 7p            4.01643E-01  9.0
    219  6  4  310   7 2p 8p            4.47119E-01  9.0
    220  6  4  310   8 2p 9p            4.78097E-01  9.0
